,flight_number,departure_station_code,arrival_station_code,scheduled_departure_dtl,entree_product_id,entree_description,entree_code,planned_entree_count,consumed_entree_count
0,2634,IAX,PDX,2022-09-01,58019,Belgium waffle,WF,20,32
1,2666,ORX,IAX,2022-09-01,60549,Vegetarian chili and polenta cake,V,3,0
2,2310,DEX,SAX,2022-09-02,58981,Scrambled eggs,O,9,7
3,1712,SFX,CLX,2022-09-04,58764,Mediterranean Falafel Bowl,V,1,0
4,1225,LAX,HNX,2022-09-08,60549,Vegetarian chili and polenta cake,V,1,0
5,2637,CLX,MCX,2022-09-12,58019,Belgium waffle,WF,16,16
6,1691,DEX,SAX,2022-09-12,58574,Belgium waffle,WF,6,2
7,592,SEX,EWX,2022-09-13,60983,Zatar chicken,C,22,22
8,1618,LAX,ORX,2022-09-13,60987,Impossible Meatball Bowl,V,7,4
9,2087,IAX,LAX,2022-09-13,60983,Zatar chicken,C,10,9
10,1508,DEX,SAX,2022-09-14,61360,Brioche cheeseburger,B,6,6
11,1572,IAX,BOX,2022-09-16,61360,Brioche cheeseburger,B,1,0
12,1685,SFX,LIX,2022-09-17,61360,Brioche cheeseburger,B,1,0
13,1946,MSX,DEX,2022-09-18,60983,Zatar chicken,C,20,16
14,2662,ORX,BZX,2022-09-20,58272,Horchata steel cut oatmeal,OM,2,0
15,1640,OGX,SFX,2022-09-21,60458,Crispy Hawaiian garlic tofu,V,6,0
16,1806,LAX,EWX,2022-09-23,60987,Impossible Meatball Bowl,V,7,0
17,1806,LAX,EWX,2022-09-23,60983,Zatar chicken,C,11,0
18,465,DEX,PDX,2022-09-01,60983,Zatar chicken,C,22,16
19,2196,ORX,IAX,2022-09-04,61360,Brioche cheeseburger,B,4,2
20,2083,ORX,MCX,2022-09-04,58272,Horchata steel cut oatmeal,OM,1,0
21,1283,DEX,BUX,2022-09-05,61530,Impossible Meatball Bowl,V,5,3
22,724,ORX,PHX,2022-09-07,58764,Mediterranean Falafel Bowl,V,1,0
23,1614,IAX,EWX,2022-09-09,58981,Scrambled eggs,O,14,10
24,234,DEX,SFX,2022-09-09,60987,Impossible Meatball Bowl,V,12,4
25,234,DEX,SFX,2022-09-09,61360,Brioche cheeseburger,B,2,1
26,725,HNX,SFX,2022-09-02,58091,Chicken katsu,C,22,20
27,1430,IAX,EWX,2022-09-03,60987,Impossible Meatball Bowl,V,12,6
28,615,IAX,SMX,2022-09-03,60987,Impossible Meatball Bowl,V,12,8
29,1187,DFX,ORX,2022-09-04,61529,Zatar chicken,C,7,4
30,1787,LAX,CLX,2022-09-03,60983,Zatar chicken,C,22,14
31,1828,IAX,LAX,2022-09-08,60983,Zatar chicken,C,7,0
32,1741,ORX,RSX,2022-09-01,58019,Belgium waffle,WF,9,8
33,787,DEX,SJX,2022-09-06,60983,Zatar chicken,C,10,0
34,1760,IAX,DCX,2022-09-07,61529,Zatar chicken,C,5,0
35,2213,IAX,SEX,2022-09-10,58764,Mediterranean Falafel Bowl,V,2,0
36,1741,ORX,RSX,2022-09-14,58272,Horchata steel cut oatmeal,OM,2,0
37,151,KIX,GUX,2022-09-16,44184,Chicken roulade,C,6,8
38,1542,LAX,IAX,2022-09-20,61529,Zatar chicken,C,7,0
39,1182,LAX,IAX,2022-09-06,58019,Belgium waffle,WF,10,9
40,2216,EWX,LAX,2022-09-01,56447,Kosher Meal,KS,1,1
41,1219,EWX,LAX,2022-09-01,61530,Impossible Meatball Bowl,V,4,0
42,707,OGX,LAX,2022-09-05,58091,Chicken katsu,C,12,11
43,407,DEX,LGX,2022-09-05,61530,Impossible Meatball Bowl,V,3,3
44,1657,ORX,CUX,2022-09-11,58764,Mediterranean Falafel Bowl,V,2,0
45,1657,ORX,CUX,2022-09-11,61360,Brioche cheeseburger,B,1,0
46,1663,ORX,LAX,2022-09-13,60549,Vegetarian chili and polenta cake,V,1,0
47,540,SFX,OGX,2022-09-24,53014,Thai chicken,C,9,9
48,1615,JAX,ORX,2022-09-24,61530,Impossible Meatball Bowl,V,5,5
49,2268,ORX,PDX,2022-09-27,60987,Impossible Meatball Bowl,V,6,0
50,455,EWX,MSX,2022-09-12,60987,Impossible Meatball Bowl,V,5,2
51,2457,LAX,EWX,2022-09-13,53162,Vegetarian entree,VG,2,0
52,2430,ORX,BOX,2022-09-14,58574,Belgium waffle,WF,5,0
53,2274,DEX,BWX,2022-09-14,58563,Tomato and kale baked egg,E,4,2
54,1137,DEX,MKX,2022-09-16,60987,Impossible Meatball Bowl,V,10,0
55,327,SEX,EWX,2022-09-18,61530,Impossible Meatball Bowl,V,5,0
56,1940,EWX,PBX,2022-09-19,61524,Scrambled eggs,O,6,6
57,2243,ORX,LAX,2022-09-20,58981,Scrambled eggs,O,24,24
58,1152,DFX,ORX,2022-09-21,58019,Belgium waffle,WF,16,8
59,1437,ORX,IAX,2022-09-23,60987,Impossible Meatball Bowl,V,6,4
60,412,DEX,LGX,2022-09-25,60987,Impossible Meatball Bowl,V,6,0
61,2279,ORX,SEX,2022-09-06,60987,Impossible Meatball Bowl,V,14,5
62,1207,DEX,YVX,2022-09-09,61360,Brioche cheeseburger,B,6,0
63,1998,IAX,SFX,2022-09-10,60549,Vegetarian chili and polenta cake,V,2,0
64,2296,ORX,YYX,2022-09-10,58272,Horchata steel cut oatmeal,OM,1,0
65,2351,SAX,ORX,2022-09-11,58574,Belgium waffle,WF,6,3
66,5681,IAX,ASX,2022-09-23,60985,Zatar chicken,C,4,1
67,1482,SNX,IAX,2022-09-23,60983,Zatar chicken,C,10,6
68,1587,DEX,LGX,2022-09-24,58981,Scrambled eggs,O,5,5
69,4782,DTX,IAX,2022-09-24,57994,Classic selection cheese tray,O,12,9
70,204,ORX,LAX,2022-09-26,58766,Gingerbread French Toast,FT,1,0
71,453,SFX,ORX,2022-09-28,58563,Tomato and kale baked egg,E,2,2
72,2131,SMX,DEX,2022-09-29,60983,Zatar chicken,C,24,20
73,248,LAX,EWX,2022-09-02,58488,Tapas,O2,8,8
74,2654,IAX,ORX,2022-09-13,58574,Belgium waffle,WF,5,3
75,1250,EWX,PHX,2022-09-13,61360,Brioche cheeseburger,B,2,0
76,1119,CUX,SFX,2022-09-15,58110,Vegetarian entree,V,8,0
77,2368,PIX,SFX,2022-09-18,58981,Scrambled eggs,O,8,0
78,399,EWX,TPX,2022-09-18,61360,Brioche cheeseburger,B,2,0
79,1487,EWX,DEX,2022-09-19,60549,Vegetarian chili and polenta cake,V,1,0
80,331,LAX,ORX,2022-09-19,60983,Zatar chicken,C,12,0
81,331,LAX,ORX,2022-09-19,61360,Brioche cheeseburger,B,2,0
82,2430,ORX,BOX,2022-09-20,58766,Gingerbread French Toast,FT,1,0
83,2196,ORX,IAX,2022-09-22,60987,Impossible Meatball Bowl,V,6,3
84,727,DEX,CMX,2022-09-26,60987,Impossible Meatball Bowl,V,6,5
85,2032,IAX,RNX,2022-09-28,60549,Vegetarian chili and polenta cake,V,1,0
86,1931,ORX,MIX,2022-09-01,61529,Zatar chicken,C,7,5
87,2133,DEX,SMX,2022-09-03,61530,Impossible Meatball Bowl,V,4,0
88,548,IAX,SFX,2022-09-13,58981,Scrambled eggs,O,9,0
89,1139,GUX,LAX,2022-09-14,58106,Savory breakfast entree,BR,6,0
90,1064,EWX,MEX,2022-09-14,58019,Belgium waffle,WF,6,0
91,1712,SEX,DEX,2022-09-15,58019,Belgium waffle,WF,8,0
92,2498,SEX,ORX,2022-09-26,60987,Impossible Meatball Bowl,V,18,12
93,468,BOX,DEX,2022-09-04,58981,Scrambled eggs,O,10,0
94,2164,ORX,LAX,2022-09-05,58019,Belgium waffle,WF,6,0
95,319,DEX,EUX,2022-09-06,61360,Brioche cheeseburger,B,2,0
96,1765,SFX,IAX,2022-09-07,58563,Tomato and kale baked egg,E,1,0
97,1252,IAX,SAX,2022-09-09,58764,Mediterranean Falafel Bowl,V,4,0
98,1508,DEX,SAX,2022-09-11,60549,Vegetarian chili and polenta cake,V,1,1
99,1687,SEX,IAX,2022-09-14,58019,Belgium waffle,WF,10,0
100,1561,SJX,EWX,2022-09-15,58109,Chicken breast entree,C,9,0
101,2319,LGX,DEX,2022-09-17,60987,Impossible Meatball Bowl,V,6,6
102,334,BOX,LAX,2022-09-17,60983,Zatar chicken,C,24,11
103,2324,ORX,MCX,2022-09-18,58766,Gingerbread French Toast,FT,2,1
104,2201,EWX,SAX,2022-09-18,52133,Gluten-free Meal,GF,2,1
105,1140,EWX,PBX,2022-09-19,60987,Impossible Meatball Bowl,V,10,9
106,1167,SAX,EWX,2022-09-20,53130,ASIAN VEGETARIAN MEAL,AV,2,0
107,1885,EWX,RSX,2022-09-23,60549,Vegetarian chili and polenta cake,V,1,0
108,1640,OGX,SFX,2022-09-25,60458,Crispy Hawaiian garlic tofu,V,6,0
109,1241,EWX,MIX,2022-09-03,61529,Zatar chicken,C,6,0
110,1458,MFX,DEX,2022-09-05,58090,Classic selection cheese tray,O,16,12
111,795,EWX,SAX,2022-09-05,58766,Gingerbread French Toast,FT,2,1
112,1121,DEX,JAX,2022-09-09,58764,Mediterranean Falafel Bowl,V,1,0
113,331,LAX,ORX,2022-09-10,60987,Impossible Meatball Bowl,V,8,0
114,582,DEX,INX,2022-09-10,58563,Tomato and kale baked egg,E,2,0
115,727,DEX,CMX,2022-09-10,58981,Scrambled eggs,O,6,0
116,1055,EWX,CUX,2022-09-11,58563,Tomato and kale baked egg,E,1,0
117,2336,LAX,EWX,2022-09-12,50950,Butternut squash ravioli,P,10,0
118,2105,DCX,DEX,2022-09-14,60987,Impossible Meatball Bowl,V,12,8
119,1889,ORX,LAX,2022-09-25,58563,Tomato and kale baked egg,E,1,0
120,1019,IAX,CUX,2022-09-28,61360,Brioche cheeseburger,B,2,0
121,1730,DEX,EWX,2022-09-30,58563,Tomato and kale baked eggwhite pastry with fire ro,E,1,7
122,2262,FLX,IAX,2022-09-30,58019,Belgium waffle,WF,20,16
123,2391,ORX,ANX,2022-09-03,58981,Scrambled eggs,O,11,8
124,2484,ORX,PDX,2022-09-04,58766,Gingerbread French Toast,FT,1,0
125,1460,POX,IAX,2022-09-13,58110,Vegetarian entree,V,6,4
126,2319,LGX,DEX,2022-09-01,60987,Impossible Meatball Bowl,V,6,5
127,1749,IAX,JAX,2022-09-03,60987,Impossible Meatball Bowl,V,6,1
128,1099,DEX,CZX,2022-09-03,60987,Impossible Meatball Bowl,V,4,4
129,2471,RNX,DEX,2022-09-03,61529,Zatar chicken,C,7,0
130,1296,LAX,LIX,2022-09-03,57484,Tomato and kale baked egg,E,5,0
131,1756,EWX,IAX,2022-09-04,58981,Scrambled eggs,O,16,14
132,1737,DEX,OGX,2022-09-12,57751,Grilled chicken,C,12,12
133,1041,EWX,AUX,2022-09-13,58019,Belgium waffle,WF,7,5
134,268,BOX,DEX,2022-09-03,58981,Scrambled eggs,O,8,7
135,1937,EWX,DEX,2022-09-03,60987,Impossible Meatball Bowl,V,6,3
136,1859,IAX,AUX,2022-09-06,60987,Impossible Meatball Bowl,V,4,0
137,1083,LAX,EWX,2022-09-01,53014,Thai chicken,C,31,0
138,414,IAX,MCX,2022-09-09,58019,Belgium waffle,WF,6,0
139,231,DCX,IAX,2022-09-10,61524,Scrambled eggs,O,6,6
140,1877,IAX,EWX,2022-09-10,60549,Vegetarian chili and polenta cake,V,2,2
141,1195,ORX,SEX,2022-09-12,58019,Belgium waffle,WF,10,10
142,1422,DEX,SAX,2022-09-15,60987,Impossible Meatball Bowl,V,5,5
143,2123,EWX,PUX,2022-09-16,58981,Scrambled eggs,O,20,10
144,1416,DEX,IAX,2022-09-18,58019,Belgium waffle,WF,7,3
145,286,ORX,SNX,2022-09-19,58272,Horchata steel cut oatmeal,OM,4,0
146,1195,ORX,SEX,2022-09-22,58766,Gingerbread French Toast,FT,4,0
147,684,DEX,SFX,2022-09-22,60549,Vegetarian chili and polenta cake,V,8,4
148,2133,SMX,IAX,2022-09-22,60987,Impossible Meatball Bowl,V,6,0
149,2381,ORX,DEX,2022-09-24,60987,Impossible Meatball Bowl,V,7,7
150,483,BOX,ORX,2022-09-26,58981,Scrambled eggs,O,20,20
151,1439,EWX,DEX,2022-09-27,58981,Scrambled eggs,O,8,8
152,2679,ORX,SFX,2022-09-27,58981,Scrambled eggs,O,14,14
153,2201,EWX,SAX,2022-09-27,60983,Zatar chicken,C,6,0
154,1967,MSX,EWX,2022-09-30,60983,Zatar chicken,C,7,0
155,1097,IAX,SJX,2022-09-01,58019,Belgium waffle,WF,7,7
156,1288,FCX,ORX,2022-09-02,60987,Impossible Meatball Bowl,V,8,3
157,2679,ORX,SFX,2022-09-03,58981,Scrambled eggs,O,7,7
158,1741,ORX,RSX,2022-09-04,61524,Scrambled eggs,O,6,3
159,791,ORX,YVX,2022-09-16,60983,Zatar chicken,C,18,18
160,2277,IAX,LAX,2022-09-16,60983,Zatar chicken,C,10,10
161,2666,ORX,IAX,2022-09-20,61360,Brioche cheeseburger,B,2,0
162,2327,ORX,TPX,2022-09-22,58766,Gingerbread French Toast,FT,2,0
163,1250,EWX,PHX,2022-09-22,61360,Brioche cheeseburger,B,3,0
164,618,DEX,ORX,2022-09-22,60549,Vegetarian chili and polenta cake,V,1,1
165,2151,IAX,YYX,2022-09-24,58563,Tomato and kale baked egg,E,4,4
166,2615,LAX,EWX,2022-09-26,17222,Gluten-free Meal,GF,1,1
167,1242,LAX,DEX,2022-09-29,61360,Brioche cheeseburger,B,3,0
168,2050,SFX,ABX,2022-09-03,58574,Belgium waffle,WF,4,4
169,1780,EWX,RSX,2022-09-05,61360,Brioche cheeseburger,B,2,0
170,1257,RDX,DEX,2022-09-06,58981,Scrambled eggs,O,8,7
171,514,DEX,PHX,2022-09-06,61524,Scrambled eggs,O,6,0
172,2131,SMX,DEX,2022-09-06,60987,Impossible Meatball Bowl,V,8,0
173,1425,ORX,AUX,2022-09-07,61530,Impossible Meatball Bowl,V,4,3
174,2667,DEX,SNX,2022-09-09,58563,Tomato and kale baked egg,E,1,0
175,297,IAX,MSX,2022-09-11,61529,Zatar chicken,C,7,0
176,553,LAX,DEX,2022-09-12,60983,Zatar chicken,C,11,0
177,2495,IAX,EWX,2022-09-15,60987,Impossible Meatball Bowl,V,2,0
178,1199,ORX,CUX,2022-09-19,58019,Belgium waffle,WF,7,0
179,358,COX,ORX,2022-09-19,61530,Impossible Meatball Bowl,V,5,3
180,1241,RDX,DEX,2022-09-20,60987,Impossible Meatball Bowl,V,6,0
181,2415,DEX,SBX,2022-09-21,61360,Brioche cheeseburger,B,2,0
182,590,DEX,EUX,2022-09-23,61360,Brioche cheeseburger,B,1,0
183,601,EWX,LAX,2022-09-05,58019,Belgium waffle,WF,4,0
184,287,CLX,DEX,2022-09-08,60983,Zatar chicken,C,10,0
185,1549,IAX,DEX,2022-09-10,60983,Zatar chicken,C,6,4
186,2359,JAX,IAX,2022-09-14,58019,Belgium waffle,WF,6,3
187,2104,PDX,ORX,2022-09-15,60987,Impossible Meatball Bowl,V,8,3
188,462,DEX,IAX,2022-09-16,61360,Brioche cheeseburger,B,6,6
189,706,DCX,IAX,2022-09-21,60987,Impossible Meatball Bowl,V,5,1
190,1795,OGX,SFX,2022-09-10,53158,Vegetarian entree,VG,1,0
191,2109,EWX,SAX,2022-09-12,60983,Zatar chicken,C,22,7
192,1126,DEX,CUX,2022-09-12,60987,Impossible Meatball Bowl,V,8,7
193,413,SFX,MEX,2022-09-16,61360,Brioche cheeseburger,B,1,0
194,1591,EWX,IAX,2022-09-18,60983,Zatar chicken,C,9,3
195,1710,ORX,SAX,2022-09-21,58019,Belgium waffle,WF,6,0
196,2451,IAX,DEX,2022-09-28,58019,Belgium waffle,WF,8,6
197,2390,ORX,RSX,2022-09-25,61360,Brioche cheeseburger,B,2,0
198,585,PHX,EWX,2022-09-29,53130,ASIAN VEGETARIAN MEAL,AV,2,2
199,381,ORX,PDX,2022-09-30,60983,Zatar chicken,C,6,0
200,1628,SEX,IAX,2022-09-30,61529,Zatar chicken,C,7,7
201,2403,LGX,DEX,2022-09-01,61529,Zatar chicken,C,7,4
202,1190,SFX,SJX,2022-09-02,58272,Horchata steel cut oatmeal,OM,1,0
203,749,ORX,SEX,2022-09-04,58019,Belgium waffle,WF,3,0
204,553,LAX,DEX,2022-09-08,61360,Brioche cheeseburger,B,3,3
205,655,AUX,IAX,2022-09-08,58090,Classic selection cheese tray,O,12,8
206,2153,SJX,DEX,2022-09-08,58110,Vegetarian entree,V,12,4
207,539,ORX,FCX,2022-09-10,58574,Belgium waffle,WF,4,2
208,639,MCX,ORX,2022-09-13,58981,Scrambled eggs,O,12,0
209,1836,EWX,MSX,2022-09-13,61530,Impossible Meatball Bowl,V,3,2
210,2243,ORX,SFX,2022-09-01,58981,Scrambled eggs,O,16,16
211,5773,TYX,DEX,2022-09-05,57994,Classic selection cheese tray,O,6,0
212,1436,SFX,IAX,2022-09-07,60987,Impossible Meatball Bowl,V,16,10
213,1577,EWX,TPX,2022-09-08,61360,Brioche cheeseburger,B,3,3
214,2088,DEX,IAX,2022-09-08,60983,Zatar chicken,C,17,15
215,2323,IAX,BWX,2022-09-10,61529,Zatar chicken,C,7,6
216,2059,IAX,IAX,2022-09-12,58019,Belgium waffle,WF,9,4
217,1772,SEX,ORX,2022-09-13,58981,Scrambled eggs,O,10,10
218,6093,IAX,DCX,2022-09-13,57994,Classic selection cheese tray,O,5,0
219,2331,PHX,EWX,2022-09-14,61529,Zatar chicken,C,7,5
220,1896,IAX,PHX,2022-09-15,58981,Scrambled eggs,O,14,7
221,1896,IAX,PHX,2022-09-15,58766,Gingerbread French Toast,FT,2,0
222,362,DEX,BOX,2022-09-16,58563,Tomato and kale baked egg,E,1,0
223,2267,LAX,EWX,2022-09-23,58981,Scrambled eggs,O,10,5
224,2682,DEX,SFX,2022-09-24,60987,Impossible Meatball Bowl,V,22,9
225,609,LAX,YVX,2022-09-27,60987,Impossible Meatball Bowl,V,12,6
226,727,DEX,CMX,2022-09-27,61360,Brioche cheeseburger,B,2,0
227,1692,CUX,DEX,2022-09-07,58109,Chicken breast entree,C,24,24
228,1814,IAX,LAX,2022-09-08,60549,Vegetarian chili and polenta cake,V,1,0
229,2399,TPX,IAX,2022-09-09,60987,Impossible Meatball Bowl,V,6,2
230,1984,MSX,DEX,2022-09-10,61530,Impossible Meatball Bowl,V,5,2
231,308,SEX,EWX,2022-09-13,58981,Scrambled eggs,O,8,8
232,2185,MCX,EWX,2022-09-13,60987,Impossible Meatball Bowl,V,6,4
233,1669,IAX,CLX,2022-09-14,61360,Brioche cheeseburger,B,2,0
234,1744,IAX,CVX,2022-09-18,60987,Impossible Meatball Bowl,V,7,7
235,1889,ORX,LAX,2022-09-26,58272,Horchata steel cut oatmeal,OM,1,0
236,1278,CUX,LAX,2022-09-08,58110,Vegetarian entree,V,8,0
237,1682,SFX,CMX,2022-09-13,60987,Impossible Meatball Bowl,V,5,5
238,312,BOX,LAX,2022-09-14,58981,Scrambled eggs,O,10,8
239,393,SFX,DEX,2022-09-16,61530,Impossible Meatball Bowl,V,4,0
240,548,IAX,SFX,2022-09-16,58981,Scrambled eggs,O,10,10
241,2605,EWX,SAX,2022-09-13,60987,Impossible Meatball Bowl,V,4,0
242,2677,ORX,LAX,2022-09-14,60549,Vegetarian chili and polenta cake,V,4,0
243,668,IAX,LAX,2022-09-17,58981,Scrambled eggs,O,8,6
244,469,LAX,EWX,2022-09-19,60983,Zatar chicken,C,12,8
245,1875,YVX,DEX,2022-09-21,61530,Impossible Meatball Bowl,V,5,5
246,2204,EWX,LAX,2022-09-24,54076,Cacio e Pepe ravioli,P,13,13
247,1627,MCX,ORX,2022-09-25,60987,Impossible Meatball Bowl,V,8,4
248,1893,DEX,BOX,2022-09-27,60983,Zatar chicken,C,8,7
249,2338,IAX,PHX,2022-09-28,60983,Zatar chicken,C,6,0
250,1488,IAX,SAX,2022-09-29,58019,Belgium waffle,WF,8,0
251,1445,SFX,IAX,2022-09-30,61360,Brioche cheeseburger,B,3,0
252,1546,DEX,LGX,2022-09-19,58574,Belgium waffle,WF,4,1
253,399,EWX,TPX,2022-09-19,61360,Brioche cheeseburger,B,1,0
254,1556,IAX,SEX,2022-09-23,58981,Scrambled eggs,O,16,7
255,2271,DEX,SMX,2022-09-23,60549,Vegetarian chili and polenta cake,V,1,0
256,1087,BOX,IAX,2022-09-24,60987,Impossible Meatball Bowl,V,16,2
257,1078,DEX,SEX,2022-09-26,58272,Horchata steel cut oatmeal,OM,2,1
258,1894,IAX,SFX,2022-09-26,60549,Vegetarian chili and polenta cake,V,2,0
259,1666,SFX,BOX,2022-09-26,60983,Zatar chicken,C,22,0
260,1107,DEX,INX,2022-09-08,60987,Impossible Meatball Bowl,V,6,0
261,2383,IAX,PHX,2022-09-09,60549,Vegetarian chili and polenta cake,V,1,1
262,1620,IAX,CUX,2022-09-11,58981,Scrambled eggs,O,8,0
263,1111,OGX,LAX,2022-09-13,60458,Crispy Hawaiian garlic tofu,V,6,0
264,2110,PIX,DEX,2022-09-16,58019,Belgium waffle,WF,20,0
265,1422,DEX,SAX,2022-09-20,60549,Vegetarian chili and polenta cake,V,2,0
266,1187,DFX,ORX,2022-09-09,61530,Impossible Meatball Bowl,V,5,4
267,791,ORX,YVX,2022-09-18,60987,Impossible Meatball Bowl,V,6,0
268,2290,ORX,PDX,2022-09-23,58766,Gingerbread French Toast,FT,2,1
269,2111,ORX,SMX,2022-09-24,60983,Zatar chicken,C,14,6
270,427,SLX,EWX,2022-09-26,61530,Impossible Meatball Bowl,V,5,0
271,1917,IAX,PTX,2022-09-28,58272,Horchata steel cut oatmeal,OM,2,1
272,2059,IAX,IAX,2022-09-28,58019,Belgium waffle,WF,7,7
273,1147,ORX,MBX,2022-09-03,58766,Gingerbread French Toast,FT,3,0
274,791,ORX,GEX,2022-09-04,61360,Brioche cheeseburger,B,5,0
275,1764,SFX,AUX,2022-09-07,58764,Mediterranean Falafel Bowl,V,2,2
276,592,SEX,EWX,2022-09-14,53130,ASIAN VEGETARIAN MEAL,AV,2,2
277,2655,BNX,SFX,2022-09-26,61529,Zatar chicken,C,7,7
278,1641,SFX,ORX,2022-09-26,60983,Zatar chicken,C,16,0
279,703,CLX,IAX,2022-09-29,60983,Zatar chicken,C,7,7
280,684,DEX,SFX,2022-09-27,60549,Vegetarian chili and polenta cake,V,3,0
281,1005,LAX,ITX,2022-09-27,53014,Thai chicken,C,9,5
282,621,STX,EWX,2022-09-29,60983,Zatar chicken,C,12,12
283,2615,LAX,EWX,2022-09-30,53014,Thai chicken,C,31,0
284,1893,DEX,BOX,2022-09-30,61360,Brioche cheeseburger,B,1,1
285,1587,DEX,LGX,2022-09-14,58766,Gingerbread French Toast,FT,2,0
286,2359,IAX,SAX,2022-09-23,58766,Gingerbread French Toast,FT,1,0
287,1889,ORX,LAX,2022-09-14,58981,Scrambled eggs,O,8,0
288,2627,SFX,IAX,2022-09-20,60987,Impossible Meatball Bowl,V,5,2
289,2308,DEX,LIX,2022-09-21,57751,Grilled chicken,C,6,6
290,1707,ITX,LAX,2022-09-27,58357,Thai chicken,C,14,5
291,2672,IAX,SAX,2022-09-19,61524,Scrambled eggs,O,7,7
292,2472,SAX,EWX,2022-09-23,58019,Belgium waffle,WF,8,0
293,1600,IAX,LAX,2022-09-24,60987,Impossible Meatball Bowl,V,6,0
294,327,IAX,SEX,2022-09-27,60987,Impossible Meatball Bowl,V,7,0
295,1549,IAX,DEX,2022-09-28,61360,Brioche cheeseburger,B,2,2
296,2489,SJX,DEX,2022-09-28,61529,Zatar chicken,C,7,5
297,2053,ORX,DFX,2022-09-27,58019,Belgium waffle,WF,14,4
298,5794,SJX,DEX,2022-09-29,57994,Classic selection cheese tray,O,6,2
299,2178,PDX,ORX,2022-09-29,60983,Zatar chicken,C,12,0
300,1597,DEX,ATX,2022-09-30,61360,Brioche cheeseburger,B,2,0
301,474,DEX,PDX,2022-09-28,61360,Brioche cheeseburger,B,2,0
302,2170,ORX,SFX,2022-09-27,60987,Impossible Meatball Bowl,V,19,0
303,1250,EWX,PHX,2022-09-29,60983,Zatar chicken,C,9,9
304,555,DEX,RNX,2022-09-30,60549,Vegetarian chili and polenta cake,V,2,0
305,1497,FLX,EWX,2022-09-23,61529,Zatar chicken,C,7,4
306,348,DEX,SAX,2022-09-24,60983,Zatar chicken,C,3,0
307,1183,DEX,SMX,2022-09-24,60983,Zatar chicken,C,9,0
308,2651,LAX,HNX,2022-09-30,54759,Seared beef short rib,B,4,0
309,265,SAX,DEX,2022-09-28,61530,Impossible Meatball Bowl,V,5,0
310,2105,DCX,DEX,2022-09-07,60983,Zatar chicken,C,10,9
311,1546,DEX,LGX,2022-09-02,61524,Scrambled eggs,O,4,3
312,1744,IAX,CVX,2022-09-07,58764,Mediterranean Falafel Bowl,V,1,0
313,1291,IAX,SAX,2022-09-15,60987,Impossible Meatball Bowl,V,7,0
314,5762,ORX,COX,2022-09-14,57994,Classic selection cheese tray,O,5,0
315,2441,ORX,AUX,2022-09-27,61360,Brioche cheeseburger,B,1,0
316,594,DEX,IAX,2022-09-14,60987,Impossible Meatball Bowl,V,6,5
317,2359,IAX,SAX,2022-09-18,58272,Horchata steel cut oatmeal,OM,1,1
318,412,DEX,LGX,2022-09-28,60987,Impossible Meatball Bowl,V,4,2
319,516,JFX,LAX,2022-09-30,54076,Cacio e Pepe ravioli,P,5,4
320,724,ORX,PHX,2022-09-27,60983,Zatar chicken,C,13,11
321,692,ORX,DEX,2022-09-12,58019,Belgium waffle,WF,12,10
322,5600,MKX,IAX,2022-09-14,57994,Classic selection cheese tray,O,12,0
323,793,LAX,EWX,2022-09-14,53014,Thai chicken,C,11,5
324,2308,DEX,LIX,2022-09-29,58676,Butternut squash schnitzel,V,5,0
325,2032,IAX,RNX,2022-09-11,61530,Impossible Meatball Bowl,V,2,2
326,1937,IAX,MSX,2022-09-27,61360,Brioche cheeseburger,B,5,0
327,1931,ORX,MIX,2022-09-13,61360,Brioche cheeseburger,B,2,0
328,2271,DEX,SMX,2022-09-13,60983,Zatar chicken,C,7,6
329,2441,ORX,AUX,2022-09-08,61529,Zatar chicken,C,5,3
330,1136,IAX,DCX,2022-09-09,61360,Brioche cheeseburger,B,4,0
331,1620,IAX,CUX,2022-09-22,58563,Tomato and kale baked egg,E,2,0
332,1418,DEX,RDX,2022-09-03,60983,Zatar chicken,C,11,0
333,2456,ORX,JAX,2022-09-25,61530,Impossible Meatball Bowl,V,4,3
334,377,AUX,IAX,2022-09-23,60987,Impossible Meatball Bowl,V,5,4
335,2631,SFX,PHX,2022-09-18,60987,Impossible Meatball Bowl,V,6,0
336,2621,EWX,PBX,2022-09-28,58981,Scrambled eggs,O,8,5
337,529,ORX,SFX,2022-09-24,60987,Impossible Meatball Bowl,V,12,0
338,2667,DEX,SNX,2022-09-01,58981,Scrambled eggs,O,7,7
339,2040,LAX,ORX,2022-09-01,58981,Scrambled eggs,O,10,5
