,verbatim_text
0,There was no salad dressing. The staff informed me that the flight did not receive any salad dressing for any of the meals.
1,Not a choice.
2,More variety and bigger snacks.
3,"Serving pretzels and cookies in first class was extremely disappointing. Really, a little thought from chef would go a long way."
4,More inflight selections to purchase for full meals.
5,Hot food options would be nice.
6,"Ok, better than most United flights I have been on."
7,"I enjoy illy coffee, but the decaf instant was not all pleasant. Do not recommend using that brand for decaf."
8,I had a seltzer.
9,I thought a 3rd entree should be offered. no real dessert (a cookie) and vodka was a poor choice brand.
10,Beef was too tough to cut or chew.
11,no.
12,Chicken sattar was dry and bland.
13,Grateful United has lemons for tea and coke. No other airline does!.
14,Out of apple juice.
15,I would have preferred bottled water. Not a big deal as it was a red eye flight.
16,Having some fresh fruit options (just like apples or oranges or something) would be very nice. It is hard to get fresh fruits and veggies at the airport. Also having a small salad with the meal would be recommended over a noodle starter. Thank you!.
17,Need kosher creamer.
18,The chicken entree was a thai chicken noodle. The problem is thai food tends to contain peanuts and neither of the stewardesses knew if this entree contained peanuts which is important because my son has a peanut allergy.
19,"Would like to see a more meal selection, better snacks. like nuts/fruit etc."
20,The travelers should be given 2 snacks instead of 1.
21,"I and my wife did not partake in the complimentary meal that was served. However, we did not receive anything else until we asked for a few snacks. Attendent needed to be more attentive to this."
22,Short flight offered a cup of water which was nice.
23,white wine had gone bad;. make sure they cork the bottles or empty them out between flights.
24,Not many it any gluten intolerant options. So much bread and cookies that I could not eat.
25,Please improve the coffe.
26,"In the pre-order menu the burger, breakfast sandwich, and oatmeal were not offered. Would have preferred one of those to getting the snack box. Would like to purchase a second alcoholic beverage."
27,No.
28,That was by far the best food I have ever had on a flight!. I have flown to Africa and back many times and never had a meal as delicious as that!.
29,Breakfast was good as well.
30,I wish there was a wider selection of snacks to buy on the plane.
31,Quality of the meal was fair at best.
32,"Unusually the in flight food was quite satisfying and tasty, could have been a little bigger…especially the ice cream given as dessert. But on a whole very good all round."
33,The burger for the lunch meal did not taste that great. Especially for a first class meal a heated up burger was lacking compared to ticket price. The only other feedback is the amount of times someone came with the beverage cart compared to other airlines. Other airlines it was more frequent.
34,Food quality probably was not up to par with Polaris cabin.
35,Please provide more range of vegetarian food.
36,"on our return flight we were asked to choose either a cookie or pretzels, on our outbound flight we were given both, it should have been consistent."
37,"on the other flight, I appreciated the Illy coffee."
38,It is a really short flight. they did not even offer us water.
39,Flight ran out of cookies and being towards the back of the plane I had to opt for pretzels.
40,Very impressed with the quality and quantity.
41,We never got any food or beverages.
42,no.
43,no.
44,No.
45,I would like a bottle of water.
46,no.
47,I was charged me so much for a short trip. the options for beverage were Coke or water. How cheap this company has became!.
48,No.
49,Please add a diet caffeine free soda such as Sprite Zero or diet ginger ale. We had breakfast as we were in business. The breakfast was great!.
50,No.
51,Why do not you offer any free snacks?.
52,Coffee was served very hot…a nice surprise.
53,I think In long 16 hour flight the vegetarian menu should be more elaborate.
54,No.
55,Staff very attentive.
56,Bring back the Continental Ice Cream service please!!!!!.
57,The flight attendant was hard working and friendly!.
58,nothing more.
59,The food was too spicy.
60,Offering a whole piece of fruit would have been nice.
61,should give out bottles of water vs cups on a long flight.
62,All complimentary items must be given to everyone without asking the passengers.
63,Great.
64,Could use a bit of freshening up the food selection in First Class.
65,"Loved the flavored Aha sparkling water. Thank you!. Since you took peanuts away, a gluten free pretzel or option would be amazing."
66,"Tje Brioche cheeseburger is really good, but ketchup and mustard should also be provided."
67,There we are nö snacks Like Chips/pretzels.
68,"We were fine in business our kids that had flown you business over with us and we could only get premium economy back could get even a glass of water and not one meal of choice that was selected was received and yet they watched the meal they had choice, be handed out all through economy. So they paid more for less service."
69,Nothing else because I am ok with water.
70,I would like to have a change in the menu if possible. I have had the chicken and meatballs many times now.
71,your snacks only cater to the general public. How about have at least one item cater to customer with diabetes.
72,I had my own water because I do not like the taste of Dasiana. The size portion is really so small for the price of our tickets.
73,A wine list for business class is somewhat expected. We did not get that on this flight.
74,Coffee was good.
75,The meals aim to be creative but I prefer more traditional meals.
76,Better Scotch selection.
77,At least this flight provided pretzels. The one to Louisville did not offer anything but a drink.
78,Very tasty. Nice portion.
79,It pleases me tremendously that United has added sparkling wine to its beverage list.
80,"It was the only time I saw a flight attendant, that is good."
81,No.
82,Please provide healthier snack options - sugar and gluten free on the airplane and in the club.
83,The only beers available were Ultra Lite and Stella Artois. There should be at least one more option.
84,The arrival snack which was a cheeseburger was a little dry and tough. Main course meal was good.
85,"I just wish I could you le get more yummy desserts!. I wanted the ice cream. I am vegetarian, not vegan. And the sandwich for the second meal was very boring: bread, cucumber and tomato. No taste at all <😊>."
86,Need to change the menu. The food was not to appetizing.
87,Breakfast was very small.
88,No.
89,More options.
90,first class and there are no snack boxes available ?. Come on!. Give us a box please.
91,"Loved my gluten-free meal option, but there are no gluten free snacks available. Miss having a gluten-free nut option. ( husband ate my Biscoff)."
92,No.
93,No.
94,I would just like to be reimbursed for the extra expense of buying new connecting tickets on to Sardinia.
95,Pleasantly surprised by the quality and diversity of choices.
96,You need some non indian options also. Not everyone wants indian food especially when you are headed there for a two week business trip and all you will be eating is indian food. Please give us some other options for dinner and breakfast.
97,"Had pre ordered drinks. Attendant had no record of pre order. When I inquired about white wine, only choice was Chardonnay. Then requested vodka. Vodka brand served was not the best. My husband's Jack Daniels was what he had requested so that was fine."
98,Water bottles are too small. a larger size could be offered.
99,Snack was better than the dinner.
100,There was so much turbulence. no drinks were offered.
101,Please provide light snack.
102,None.
103,Dinner not that tasty... breakfast should have a savory bread option or similar.
104,None.
105,would like ice and lemonade.
106,I would have expected a 2nd service of beverages given the duration of the flight.
107,"You only have one sugar free soda, and that with caffeine. I think you could do better. How about one sugar free caffeine free offering?. All snacks loaded with sugar. How about some pretzels or something not so loaded with sugar?."
108,I think it is excellent that you continue to provide Biscoff cookies and Stroopwafels. Truly an experience of decadence in an otherwise humdrum world.
109,Beverage selection was ok.
110,"It would be nice if you offered other diet options other than just Diet Coke, like Diet 7Up or Sprite. The quality of food in Business class has always been lacking. I had connected from a flight from Europe on Turkish Airlines. the quality of food was like comparing a 5 star restaurant to McDonalds. No matter what the comments, I highly doubt that United will get on par with the best airlines in the food quality in Business Class as I have heard the same thing from other travelers for many years. United obviously does not consider this to be a priority, whereas they absolutely should."
111,N/A.
112,no.
113,While the food was hot the menu leaves something to be desired. Quinoa is an ingredient that could be replaced with Oreo.
114,The Pinot noir was kind of a fruit bomb of a wine. Did not have more than a couple sips.
115,No.
116,There really was no food or beverage offered in 1st class on this flight—only a glass of water.
117,Portions too small and pret.
118,Too short for service.
119,"When getting a soft drink, the flight attendant should always offer the whole can."
120,"It would be good to allow more preorder of the meal items. I tried to preorder shortly after I received the notification, but all of the food items were already sold out. Thus, I ended up preordering a Tapas snack box, which I then swapped to the burger on board when they had inventory."
121,On my first flight segment from Milan to Newark I pre-selected a vegan meal. They provided me a curry dish with Chicken in it and a salad with some white creamy dressing. Clearly NOT a vegan meal.
122,No.
123,"When we first took off the flight attendants told us there were no snacks, the previous employees had failed to refill, but then later on they gave us a choice between strop waffles and pretzels so I think they found some somewhere. I felt bad for the flight attendants for having to deal with that. They were great though!."
124,No snack.
125,I wanted to comment on the United Club food - eggs and bacon ar very good addition.
126,"Great offer!. Meal, snack, water, and so on."
127,None.
128,Thank you for carrying Buffalo Trace!. It is the best bourbon that you can not find in stores around the US.
129,Oatmeal breakfast had a good mix of items.
130,There was no choice in snacks only pretzels given on both flights. Pretzels are too dry and tasteless.
131,Why can not bottles be used instead of cans?. I am on a flight with turbulence with a cup full of water and ice. Makes no sense.
132,no.
133,"Not offered water, drink or anything before take off. Had to go to section behind to ask for water to take some medicine."
134,Change up the snacks sometimes.
135,Food quality was better before pandemic.
136,My connecting flight from Des Moines was on time. everything in O'Hare was closing. there was no food available. It would have been nice to have offered the snack boxes for sale but that was not an option for an 8pm flight. Did not arrive in IAD until midnight and of course everything was closed outside the airport.
137,Such a small amount but I get it [amount] you do not want anyone getting drunk on the plane.
